seed,model_name,experiment_id,true_label,predicted_label,count
7,LinearSVC,synthetic_only,ham,ham,0
7,LinearSVC,synthetic_only,ham,spam,887
7,LinearSVC,synthetic_only,ham,smishing,80
7,LinearSVC,synthetic_only,spam,ham,0
7,LinearSVC,synthetic_only,spam,spam,84
7,LinearSVC,synthetic_only,spam,smishing,13
7,LinearSVC,synthetic_only,smishing,ham,0
7,LinearSVC,synthetic_only,smishing,spam,10
7,LinearSVC,synthetic_only,smishing,smishing,116
7,LinearSVC,combined,ham,ham,964
7,LinearSVC,combined,ham,spam,1
7,LinearSVC,combined,ham,smishing,2
7,LinearSVC,combined,spam,ham,2
7,LinearSVC,combined,spam,spam,91
7,LinearSVC,combined,spam,smishing,4
7,LinearSVC,combined,smishing,ham,0
7,LinearSVC,combined,smishing,spam,8
7,LinearSVC,combined,smishing,smishing,118
8,MultinomialNB,manual_only,ham,ham,966
8,MultinomialNB,manual_only,ham,spam,0
8,MultinomialNB,manual_only,ham,smishing,1
8,MultinomialNB,manual_only,spam,ham,25
8,MultinomialNB,manual_only,spam,spam,55
8,MultinomialNB,manual_only,spam,smishing,17
8,MultinomialNB,manual_only,smishing,ham,3
8,MultinomialNB,manual_only,smishing,spam,10
8,MultinomialNB,manual_only,smishing,smishing,113
8,MultinomialNB,synthetic_only,ham,ham,0
8,MultinomialNB,synthetic_only,ham,spam,610
8,MultinomialNB,synthetic_only,ham,smishing,357
8,MultinomialNB,synthetic_only,spam,ham,0
8,MultinomialNB,synthetic_only,spam,spam,83
8,MultinomialNB,synthetic_only,spam,smishing,14
8,MultinomialNB,synthetic_only,smishing,ham,0
8,MultinomialNB,synthetic_only,smishing,spam,9
8,MultinomialNB,synthetic_only,smishing,smishing,117
8,MultinomialNB,combined,ham,ham,961
8,MultinomialNB,combined,ham,spam,1
8,MultinomialNB,combined,ham,smishing,5
8,MultinomialNB,combined,spam,ham,5
8,MultinomialNB,combined,spam,spam,81
8,MultinomialNB,combined,spam,smishing,11
8,MultinomialNB,combined,smishing,ham,1
8,MultinomialNB,combined,smishing,spam,8
8,MultinomialNB,combined,smishing,smishing,117
8,LogisticRegression,manual_only,ham,ham,964
